NAMES,SEASON,TM,GP,MPG,PPG,RPG,APG,SPG,BPG,FG%,FGM,FGA,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TPG,MIN,PTS,REB,AST,STL,BLK,TOV,PF,+/-
James Harden,2024-25,LAC,79,35.3,22.8,5.8,8.7,1.5,0.7,6.7,16.4,41.0,3.0,8.5,35.2,6.4,7.3,87.4,58.2,0.7,5.1,4.3,2789,1802,456,687,118,53,341,162,+344
Tobias Harris,2024-25,DET,73,31.6,13.7,5.9,2.2,1.0,0.8,5.3,11.0,47.7,1.2,3.6,34.5,2.0,2.3,86.1,57.1,0.9,5.0,1.2,2306,1002,432,162,74,57,78,138,+187
Jrue Holiday,2024-25,BOS,62,30.6,11.1,4.3,3.9,1.1,0.4,4.1,9.2,44.3,1.7,4.9,35.3,1.1,1.2,90.9,56.5,1.2,3.0,1.2,1896,686,265,239,66,27,77,101,+339
Al Horford,2024-25,BOS,60,27.6,9.0,6.2,2.1,0.6,0.9,3.3,7.7,42.3,1.9,5.2,36.3,0.6,0.6,89.5,56.3,1.3,4.8,0.8,1658,538,369,128,36,51,46,81,+397
Kyrie Irving,2024-25,DAL,50,36.1,24.7,4.8,4.6,1.3,0.5,8.9,18.9,47.3,2.9,7.2,40.1,3.9,4.3,91.6,59.4,1.2,3.6,2.2,1804,1234,240,231,66,23,111,101,+124
Reggie Jackson,2024-25,PHI,31,12.4,4.4,1.4,1.5,0.5,0.1,1.7,4.3,39.1,0.8,2.4,33.8,0.2,0.3,77.8,49.6,0.3,1.1,0.5,384,136,42,45,16,3,17,34,-19
LeBron James,2024-25,LAL,70,34.9,24.4,7.8,8.2,1.0,0.6,9.3,18.1,51.3,2.1,5.7,37.6,3.7,4.7,78.2,60.4,1.0,6.8,3.7,2444,1710,546,575,70,39,260,99,-54
James Johnson,2024-25,IND,12,3.1,0.7,0.5,0.3,0.0,0.2,0.3,0.9,36.4,0.0,0.3,0.0,0.0,0.1,0.0,35.0,0.0,0.5,0.3,37,8,6,4,0,2,4,5,-9
DeAndre Jordan,2024-25,DEN,56,12.3,3.7,5.1,0.9,0.3,0.5,1.6,2.5,65.0,0.0,0.0,-,0.5,1.1,42.2,62.1,1.5,3.6,0.7,691,209,284,53,16,27,40,74,-47
Cory Joseph,2024-25,ORL,50,12.2,3.5,1.5,1.4,0.5,0.1,1.2,3.1,40.3,0.8,2.1,36.4,0.3,0.4,77.8,54.7,0.3,1.1,0.4,612,177,74,72,26,4,18,50,+35
Alex Len,2024-25,TOT,46,8.3,1.6,2.1,0.8,0.2,0.5,0.7,1.4,50.8,0.0,0.2,22.2,0.2,0.4,47.1,52.5,0.8,1.2,0.4,380,74,95,38,9,21,20,56,-153
Kawhi Leonard,2024-25,LAC,37,31.9,21.5,5.9,3.1,1.6,0.5,8.4,16.8,49.8,2.1,5.1,41.1,2.6,3.3,81.0,58.9,0.9,5.0,1.9,1180,796,219,116,59,17,77,256,+296
Damian Lillard,2024-25,MIL,58,36.1,24.9,4.7,7.1,1.2,0.2,7.7,17.1,44.8,3.4,9.0,37.6,6.2,6.8,92.1,62.1,0.5,4.2,2.8,2093,1447,272,410,70,10,162,97,+53
Brook Lopez,2024-25,MIL,80,31.8,13.0,5.0,1.8,0.6,1.9,4.9,9.7,50.9,1.7,4.7,37.3,1.4,1.7,82.6,62.4,1.4,3.6,1.1,2546,1041,401,143,50,148,84,171,+134
Kevin Love,2024-25,MIA,23,10.9,5.3,4.1,1.0,0.7,0.2,1.8,5.0,35.7,1.0,2.9,35.8,0.7,1.0,69.6,48.8,1.0,3.1,0.6,251,122,94,22,15,4,21,25,-25
Kyle Lowry,2024-25,PHI,35,18.8,3.9,1.9,2.7,0.9,0.3,1.2,3.3,35.0,0.8,2.5,33.0,0.8,0.9,81.8,52.5,0.3,1.6,0.6,659,138,67,96,33,11,21,62,-71
CJ McCollum,2024-25,NOP,56,32.7,21.1,3.8,4.1,0.8,0.4,7.9,17.9,44.4,3.1,8.2,37.3,2.2,3.1,71.7,55.0,0.8,3.0,1.9,1832,1183,212,227,46,24,106,124,-279
Khris Middleton,2024-25,TOT,37,22.8,11.9,3.7,4.1,0.9,0.2,4.3,9.1,47.5,1.3,3.6,36.1,1.9,2.3,85.7,58.8,0.4,3.4,1.5,843,440,137,150,35,8,56,75,+39
Patty Mills,2024-25,TOT,29,11.1,3.8,0.8,0.9,0.4,0.1,1.2,3.3,37.5,0.9,2.6,34.7,0.4,0.5,92.9,54.3,0.1,0.6,0.6,321,111,22,26,13,3,17,24,-15
Markieff Morris,2024-25,TOT,15,11.0,3.7,1.5,1.4,0.1,0.2,1.4,4.7,30.0,0.6,2.4,25.0,0.3,0.4,83.3,38.5,0.2,1.3,0.3,165,56,23,21,2,3,5,16,-28
Kelly Olynyk,2024-25,TOT,44,20.3,8.7,4.7,2.9,0.8,0.4,3.0,6.1,50.0,0.8,1.8,41.8,1.9,2.5,76.9,60.9,1.4,3.3,1.7,891,384,206,128,33,19,76,123,-58
Chris Paul,2024-25,SAS,82,28.0,8.8,3.6,7.4,1.3,0.3,3.0,7.1,42.7,1.7,4.5,37.7,1.0,1.1,92.4,58.0,0.4,3.2,1.6,2292,723,296,605,103,22,129,151,+4
Mason Plumlee,2024-25,PHX,74,17.6,4.5,6.1,1.8,0.4,0.6,1.7,2.7,61.9,0.0,0.1,0.0,1.1,1.7,64.8,64.5,1.6,4.6,0.8,1300,333,455,134,33,47,59,154,+54
Dennis Schröder,2024-25,TOT,75,28.1,13.1,2.6,5.4,0.9,0.2,4.5,11.0,40.6,1.7,4.9,34.2,2.4,2.9,83.8,53.1,0.4,2.3,1.9,2105,980,198,404,66,12,142,180,-72
Garrett Temple,2024-25,TOR,28,8.1,1.9,1.0,1.1,0.6,0.1,0.6,2.1,30.0,0.2,1.0,21.4,0.4,0.4,91.7,40.6,0.3,0.7,0.4,227,53,29,31,17,2,10,23,-28
Klay Thompson,2024-25,DAL,72,27.3,14.0,3.4,2.0,0.7,0.4,5.0,12.2,41.2,3.0,7.7,39.1,0.9,1.0,90.5,55.2,0.6,2.8,1.2,1965,1005,246,145,50,30,88,81,-79
Tristan Thompson,2024-25,CLE,40,8.2,1.7,3.4,0.6,0.1,0.3,0.8,1.8,43.7,0.0,0.1,0.0,0.2,0.8,23.3,41.0,0.8,2.6,0.4,328,69,134,24,21,11,14,36,-85
